tc_EPID,tc_EquipmentGroupID,tc_EquipmentUnitID,tc_ExpDurationHrs,tc_ExpEPCount,tc_ExpEndDatetime,tc_ExpStartDatetime,tc_ExperimentID,tc_Latitude,tc_Longitude,tc_C1MassFlow,tc_C1MassFlowUncertainty
4T-32,4T,4T-3,5.5,1,2022-05-16 05:50:41+00:00,2022-05-16 00:20:41+00:00,20220516001,40.5958375,-105.1398447,3119.089351,265.7058687
4T-12,4T,4T-1,3,1,2022-05-14 16:50:31+00:00,2022-05-14 13:50:31+00:00,20220514001,40.595764,-105.1399033,6110.332422,224.8817303
5W-13,5W,5W-1,7.999722222,1,2022-05-14 10:31:42+00:00,2022-05-14 02:31:43+00:00,20220513004,40.59561533,-105.1394182,567.581338,33.93338971
5W-13,5W,5W-1,6.500277778,1,2022-05-12 07:31:26+00:00,2022-05-12 01:01:25+00:00,20220511006,40.59561533,-105.1394182,538.2606027,32.92025303
4W-22,4W,4W-2,8,1,2022-05-08 07:47:53+00:00,2022-05-07 23:47:53+00:00,20220507004,40.59595283,-105.1402622,566.4735518,40.40300194
5W-11,5W,5W-1,5,1,2022-05-06 11:24:05+00:00,2022-05-06 06:24:05+00:00,20220505007,40.59561783,-105.1394243,756.6171257,31.69064526
4T-32,4T,4T-3,1.5,1,2022-05-03 20:52:53+00:00,2022-05-03 19:22:53+00:00,20220503005,40.5958375,-105.1398447,2765.477063,209.4447158
4T-12,4T,4T-1,0.75,1,2022-05-02 22:22:45+00:00,2022-05-02 21:37:45+00:00,20220502008,40.595764,-105.1399033,6394.859754,305.3249692
4W-15,4W,4W-1,6.999722222,1,2022-05-01 05:35:35+00:00,2022-04-30 22:35:36+00:00,20220430004,40.59594217,-105.1402197,852.5696339,103.9174108
4T-31,4T,4T-3,2.25,1,2022-04-30 20:35:32+00:00,2022-04-30 18:20:32+00:00,20220430002,40.59583017,-105.139824,2091.773581,161.55686
5W-13,5W,5W-1,7.999722222,1,2022-04-29 10:04:31+00:00,2022-04-29 02:04:32+00:00,20220428005,40.59561533,-105.1394182,530.4823637,32.51688314
5S-12,5S,5S-1,1.75,1,2022-04-26 20:19:01+00:00,2022-04-26 18:34:01+00:00,20220426003,40.59591783,-105.1393697,1702.201876,74.18085754
4T-32,4T,4T-3,1.000277778,1,2022-04-25 13:55:31+00:00,2022-04-25 12:55:30+00:00,20220422019,40.5958375,-105.1398447,2877.957998,196.4614229
4W-54,4W,4W-5,8,1,2022-04-25 07:55:27+00:00,2022-04-24 23:55:27+00:00,20220422017,40.59593983,-105.1403915,602.4703833,55.06903329
5S-36,5S,5S-3,8,1,2022-04-24 16:55:20+00:00,2022-04-24 08:55:20+00:00,20220422013,40.59593683,-105.1394157,425.1455793,69.52209939
5W-11,5W,5W-1,7,1,2022-04-24 04:55:17+00:00,2022-04-23 21:55:17+00:00,20220422011,40.59561783,-105.1394243,704.7147183,38.31661286
4T-32,4T,4T-3,1.749722222,1,2022-04-22 21:40:03+00:00,2022-04-22 19:55:04+00:00,20220422003,40.5958375,-105.1398447,2163.283374,159.2347016
5W-13,5W,5W-1,5.472777778,1,2022-04-18 14:32:35+00:00,2022-04-18 09:04:13+00:00,20220417008,40.59561533,-105.1394182,608.0174357,115.1019423
5W-13,5W,5W-1,5.5,1,2022-04-16 23:50:51+00:00,2022-04-16 18:20:51+00:00,20220416005,40.59561533,-105.1394182,652.9458662,74.56634196
4T-31,4T,4T-3,2.500277778,1,2022-04-16 01:11:33+00:00,2022-04-15 22:41:32+00:00,20220415009,40.59583017,-105.139824,2128.072193,192.8961218
4S-43,4S,4S-4,1,2,2022-04-15 11:56:18+00:00,2022-04-15 10:56:18+00:00,20220415003,40.59564283,-105.1403473,2758.960134,196.3611512
4T-32,4T,4T-3,1,2,2022-04-12 20:48:32+00:00,2022-04-12 19:48:32+00:00,20220412003,40.5958375,-105.1398447,3244.062451,169.9274853
4W-31,4W,4W-3,7.183333333,4,2022-04-12 13:48:25+00:00,2022-04-12 06:37:25+00:00,20220411010,40.595948,-105.1403037,611.8060352,36.83456781
4S-43,4S,4S-4,0.999722222,1,2022-04-11 22:56:21+00:00,2022-04-11 21:56:22+00:00,20220411006,40.59564283,-105.1403473,4457.405126,157.981715
5S-35,5S,5S-3,6,2,2022-04-09 10:03:29+00:00,2022-04-09 04:03:29+00:00,20220408006,40.59593867,-105.1394113,172.4485421,34.97372841
4T-31,4T,4T-3,3.683333333,3,2022-04-09 01:03:24+00:00,2022-04-08 21:22:24+00:00,20220408004,40.59583017,-105.139824,1284.817444,59.7254782
